Species,Weight,Length,class
Bream,242.0,25.4,1
Bream,290.0,26.3,1
Bream,340.0,26.5,1
Bream,363.0,29.0,1
Bream,430.0,29.0,1
Bream,450.0,29.7,1
Bream,500.0,29.7,1
Bream,390.0,30.0,1
Bream,450.0,30.0,1
Bream,500.0,30.7,1
Bream,475.0,31.0,1
Bream,500.0,31.0,1
Bream,500.0,31.5,1
Bream,340.0,32.0,1
Bream,600.0,32.0,1
Bream,600.0,32.0,1
Bream,700.0,33.0,1
Bream,700.0,33.0,1
Bream,610.0,33.5,1
Bream,650.0,33.5,1
Bream,575.0,34.0,1
Bream,685.0,34.0,1
Bream,620.0,34.5,1
Bream,680.0,35.0,1
Bream,700.0,35.0,1
Bream,725.0,35.0,1
Bream,720.0,35.0,1
Bream,714.0,36.0,1
Bream,850.0,36.0,1
Bream,1000.0,37.0,1
Bream,920.0,38.5,1
Bream,955.0,38.5,1
Bream,925.0,39.5,1
Bream,975.0,41.0,1
Bream,950.0,41.0,1
Smelt,6.7,9.8,0
Smelt,7.5,10.5,0
Smelt,7.0,10.6,0
Smelt,9.7,11.0,0
Smelt,9.8,11.2,0
Smelt,8.7,11.3,0
Smelt,10.0,11.8,0
Smelt,9.9,11.8,0
Smelt,9.8,12.0,0
Smelt,12.2,12.2,0
Smelt,13.4,12.4,0
Smelt,12.2,13.0,0
Smelt,19.7,14.3,0
Smelt,19.9,15.0,0
